PREFERRED_AB	EXPANSION
ES	emotional stress
ES	endometrial stromal
ES	endostatin
ES	endotoxic shock
ES	endotoxin shock
ES	engraftment syndrome
ES	enzyme estrone sulfatase
ES	enzymesubstrate
ES	enzymesubstrate complex
ES	epilepsy surgery
ES	epileptic seizures
ES	epithelioid sarcoma
ES	erector spinae
ES	erythromycin stearate
ES	exanthem subitum
ES	excretory and secretory
ES	expression site
ES	extent score
ES	sweetened ethanol solution
ET	ejection time
ET	endometrial thickness
ET	endotoxins
ET	endotracheal
ET	endotracheal tube
ET	endtidal
ET	endurance training
ET	escherichia coli endotoxin
ET	esotropia
ET	essential thrombocythaemia
ET	essential thrombocythemia
ET	essential thrombocytosis
ET	essential tremor
ET	estrogen therapy
ET	eustachian tube
ET	evapotranspiration
ET	evolutionary trace
ET	exchange transfusion
ET	exercise testing
ET	exercise tolerance
ET	exfoliative toxin
FA	factor analysis
FA	fast adapting
FA	femoral
FA	femoral artery
FA	fibrinolytic activity
FA	fibrosing alveolitis
FA	filtered air
FA	flip angle
FA	fluctuating asymmetry
FA	fluid accumulation
FA	fluocinolone acetonide
FA	fly ash
FA	food allergy
FA	fractional anisotropy
FA	freunds adjuvant
FC	facilitated communication
FC	fecal coliform
FC	feed consumption
FC	feed conversion
FC	fibrillar centres
FC	flow convergence
FC	flow cytometry
FC	fluorocarbon
FC	fluorocitrate
FC	free carnitine
FC	free cholesterol
FC	frequency of contractions
FC	frontal
FC	functional class
FC	fusarin c
FC	fusicoccin
FD	familial dysautonomia
FD	familial dysbetalipoproteinemia
FD	fascia dentata
FD	fetal distress
FD	fiber density
FD	fibre density
FD	fibrous dysplasia
FD	field desorption
FD	finite difference
FD	fixation disparity
FD	flavor dilution
FD	food deprivation
FD	freezedried
FD	freezedrying
FD	friedreichs disease
FD	functional dyspepsia
FM	face mask
FM	family medicine
FM	farnsworthmunsell
FM	feather meal
FM	ferromagnetic
FM	fish meal
FM	flunixin meglumine
FM	fluorescence microscopy
FM	fragrance mix
FM	frequency modulation
FM	full mutation
FM	patients with fibromyalgia
FP	facial paralysis
FP	family physician
FP	family planning
FP	family practice
FP	fast pathway
FP	femoropopliteal
FP	ferriprotoporphyrin ix
FP	fibropapillomatosis
FP	firstpass
FP	fixation point
FP	flavopiridol
FP	floor plate
FP	fluorescence polarization
FP	fluticasone propionate
FP	follicular phase
FP	following lateral fluidpercussion
FP	footpad
FP	fungal peritonitis
FP	fusion peptide
FP	fusion protein
FP	parasagittal fluidpercussion
FP	pgf alpha
FP	prostaglandin f
FS	familial sinistrality
FS	fat saturation
FS	fat suppression
FS	fecal streptococci
FS	femoral shaft
FS	fermi surface
FS	fibrin sealant
FS	fibrous sheath
FS	field stimulation
FS	fisher syndrome
FS	flaxseed
FS	flexible sigmoidoscopy
FS	flexural strength
FS	fogo selvagem
FS	follistatin
FS	foot shock
FS	footshock
FS	former smokers
FS	fractional shortening
FS	freeze substitution
FS	functional status
FS	functional systems
FS	furosemidesensitive
FS	patients with feltys syndrome
FT	fast twitch
FT	fat thickness
FT	femurtibia
FT	fetal thymus
FT	filled teeth
FT	fixedtime
FT	flowering locus t
FT	free t
FT	freezethaw
FT	frozenthawed
FT	ftorafur
FT	fullterm
FT	futraful
FT	tegafur
GA	gallic acid
GA	gardnerarnstein
GA	general
GA	general anaesthesia
GA	general anaesthetic
GA	general anesthesia
GA	geographic atrophy
GA	georgia
GA	gibberellin
GA	glatiramer acetate
GA	glutaminase
GA	glycated albumin
GA	glycolic acid
GA	glycyrrhetic acid
GA	golgi apparatus
GA	gouty arthritis
GA	granulocyte agglutination
GA	granuloma annulare
GA	graphical analysis
GA	gum arabic
GA	gyrate atrophy
GA	hsp inhibitor geldanamycin
GA	metabolite glycidamide
GC	gas chromatograph
GC	gas chromatographic
GC	gastric cancer
GC	gemcitabine and cisplatin
GC	genomic control
GC	glassy carbon
GC	gliomatosis cerebri
GC	glucocorticosteroids
GC	glycocalicin
GC	golgi complex
GC	gonococcal
GC	gonococci
GC	gonorrhea
GC	granule cell
GC	growth cartilage
GC	guanine plus cytosine
GC	guaninecytosine
GC	gustatory cortex
GC	human glucocerebrosidase
GM	galactomannan
GM	gastric metaplasia
GM	gastric mucosa
GM	gastrocnemius medialis muscle
GM	gastrocnemius muscle
GM	genetically modified
GM	germinal matrix
GM	gluteus maximus
GM	gluteus medius
GM	glyceryl methacrylate
GM	gray matter
GM	grey matter
GM	growth medium
GM	growth monitoring
GM	rat medial gastrocnemius
GP	against platelet glycoproteins
GP	antiglycoprotein
GP	general population
GP	general practice
GP	generalized polarization
GP	genetic programming
GP	globus pallidus
GP	glucose polymer
GP	glycolytic potential
GP	glycophorin
GP	goodpasture
GP	gossypol
GP	grampositive
GP	growth plate
GP	guttapercha
GP	platelet glycoprotein
GS	galactosialidosis
GS	gastrocnemiussoleus
GS	gastroschisis
GS	general surgery
GS	gentamicin sulfate
GS	gestational sac
GS	ginsenosides
GS	gitelmans syndrome
GS	glomerular sclerosis
GS	glomerulosclerosis
GS	glucosamine sulfate
GS	glucosesensitive
GS	glycogen synthase
GS	graft survival
GS	gram stain
GS	gramicidin s
GS	grip strength
GS	patients with gilberts syndrome
GT	gambling task
GT	gene therapy
GT	genital tubercle
GT	germ tube
GT	gingival tissue
GT	gliotoxin
GT	glucose transport
GT	glucuronosyltransferase
GT	glutathione transferase
GT	granulation tissue
GT	green tea
GT	udpglcglycoprotein glucosyltransferase
GT	udpglucuronosyltransferase
HA	habitual abortion
HA	haemagglutinating
HA	haemagglutination
HA	head activator
HA	headache
HA	health authority
HA	hearing aid
HA	heart area
HA	heat acclimation
HA	height age
HA	hemagglutinating
HA	hemagglutination
HA	hemagglutination activity
HA	hemagglutination assay
HA	hemagglutinin glycoprotein
HA	hemagglutinin protein
HA	hemolytic anemia
HA	hepatic arterial
HA	hepatic artery
HA	hepatocellular adenoma
HA	hippocampal atrophy
HA	human albumin
HA	hydropic abortion
HA	hydroxyapatitecoated
HA	hyperandrogenism
HA	hyperstriatum accessorium
HA	hypothalamic amenorrhea
HA	influenza a hemagglutinin
HA	influenza virus hemagglutinin
HA	lines of chickens selected for high
HA	mice selectively bred for high
HA	minor histocompatibility antigen
HA	sperm hyperactivation
HC	fed a highcholesterol
HC	haemorrhagic colitis
HC	haemorrhagic cystitis
HC	hair cell
HC	haptocorrin
HC	hassalls corpuscles
HC	healthy children
HC	healthy comparison
HC	helper component
HC	hemicrania continua
HC	hemorrhagic colitis
HC	hemorrhagic cystitis
HC	hepatic cirrhosis
HC	hepatitis c
HC	high cholesterol
HC	hippocampal commissure
HC	hog cholera
HC	home care
HC	horizontal canal
HC	horizontal semicircular canal
HC	huntingtons chorea
HC	hybrid capture
HC	hydrocephalus
HC	hydrogen clearance
HC	hypercholesterolaemia
HC	plasma homocysteine
HD	enoylcoa hydratasehydroxyacylcoa dehydrogenase
HD	haemodialysed
HD	haemodialysis patients
HD	hand dermatitis
HD	hanganutziudeicher
HD	healthy donors
HD	heavy distillate
HD	heavy drinkers
HD	helperdependent
HD	hemodialysed
HD	hemodialyses
HD	hemodialysis patients
HD	hemodialysis treatment
HD	hemodialyzed
HD	hemodilution
HD	high density
HD	hip dysplasia
HD	hodgkins
HD	hodgkins lymphoma
HD	homeodomain
HD	homozygous deletion
HD	hormonedependent
HD	house dust
HD	huntingtons
HD	huntingtons disease
HD	hypoxic depolarization
HD	patients on chronic haemodialysis
HF	haemofiltration
HF	hageman factor
HF	halofantrine
HF	hartreefock
HF	heart failure
HF	hemorrhagic fever
HF	high fat
HF	high fiber
HF	high flow
HF	high frequencies
HF	high frequency band
HF	highflux
HF	highfrequency component
HF	hip fracture
HF	hollow fiber
HF	hydrofluoric
HF	hydrofluoric acid
HF	hydrogen fluoride
HF	hypoxic fraction
HF	rats fed highfat
HH	hamburger and hamilton
HH	hamburgerhamilton
HH	headtohead
HH	heated humidifier
HH	hemorrhagic hypotension
HH	hereditary haemochromatosis
HH	hereford
HH	hiatal hernia
HH	hiatus hernia
HH	hodgkinhuxley
HH	hyperhidrosis
HH	hypobaric hypoxia
HH	hypogonadotrophic hypogonadism
HH	hyporeninemic hypoaldosteronism
HH	hypothalamic hamartoma
HH	hypoxic hypoxia
HP	haematoporphyrin
HP	haemoperfusion
HP	health promotion
HP	healthy persons
HP	heat production
HP	hemangiopericytoma
HP	hematoporphyrin
HP	hemoperfusion
HP	hereditary pancreatitis
HP	hewlettpackard
HP	highly pathogenic
HP	highly purified
HP	highpass
HP	hotplate
HP	human plasma
HP	hydrostatic pressure
HP	hydroxylysyl pyridinoline
HP	hydroxylysylpyridinoline
HP	hyperparathyroidism
HP	hyperpolarized
HP	hypersensitivity pneumonitis
HP	hypertension during pregnancy
HP	hypoparathyroidism
HP	hypothalamicpituitary
HP	protein diet
HS	bedtime
HS	haemorrhagic septicaemia
HS	harmonic scalpel
HS	headspace
HS	healthy smokers
HS	healthy subjects
HS	heat stress
HS	heat stroke
HS	heatstable
HS	hemorrhagic shock
HS	hemorrhagic stroke
HS	hemosorption
HS	heparan sulphate
HS	hepatosplenic
HS	hereditary spherocytosis
HS	heterogeneous stock
HS	hidradenitis suppurativa
HS	highsalt diet
HS	highspin
HS	hindlimb suspension
HS	hopelessness scale
HS	horizontal system
HS	horse serum
HS	hs
HS	hunger sensation
HS	hypertrophic scar
HS	hyposensitization
HS	hypothalamic stimulation
HT	harringtonine
HT	headtotail
HT	hemorrhagic transformation
HT	high threshold
HT	highly trained
HT	hormonal therapy
HT	hormone therapy
HT	hypertensive patients
HT	hypertensive subjects
HT	hyperthyroidism
HT	hypothermia
HT	hypothyroidism
HT	local hyperthermia
HT	patients with essential hypertension
HT	patients with hashimotos thyroiditis
IA	acurrent
IA	atype k current
IA	idiopathic anaphylaxis
IA	immune adherence
IA	immunoadsorption
IA	induced abortion
IA	infantile autism
IA	infarct area
IA	inflammatory arthritis
IA	inhibitory avoidance
IA	innominate artery
IA	insulin antibodies
IA	interarytenoid
IA	intestinal atresia
IA	intimal area
IA	intraabdominal
IA	intracranial aneurysm
IA	invasive aspergillosis
IA	transient k current
IA	transient potassium current
IC	iliac crest
IC	immunocytoma
IC	impoverished
IC	impoverished condition
IC	impression cytology
IC	imprint cytology
IC	imprinting center
IC	indeterminate colitis
IC	indirect calorimetry
IC	infection control
IC	infectious centers
IC	inferior cardiac
IC	inferior collicular
IC	inferior colliculus
IC	informed consent
IC	inspiratory capacity
IC	integrated circuit
IC	integrated concentration
IC	intercalated
IC	intercellular communication
IC	intercostal
IC	intermediate compartment
IC	intermittent catheterization
IC	intermittent claudication
IC	internal capsule
IC	internal carotid artery
IC	internal control
IC	interstitial cystitis
IC	intracameral
IC	intracerebral
IC	invasive cancer
IC	ion chromatographic
IC	ion chromatography
IC	ischaemic cardiopathy
IC	ischemic cardiopathy
IC	ischiocavernosus
IC	systemic immunecomplex
ID	identification
ID	identifier
ID	immunodiffusion
ID	incidence density
ID	index of difficulty
ID	infantdirected
ID	infective dermatitis
ID	inhibitor of differentiation
ID	injected dose
ID	internal derangement
ID	iodine deficiency
ID	iron deficiency
ID	isotope dilution
ID	microm inner diameter
ID	onedimensional
ID	primary immunodeficiency
IM	administered intramuscularly
IM	imatinib mesylate
IM	induced motion
IM	infant mortality
IM	infantile myofibromatosis
IM	infectious mononucleosis
IM	inflammatory myopathy
IM	inner medulla
IM	inner medullary
IM	inner membrane
IM	intermetatarsal
IM	internal mammary
IM	internal medicine
IM	interstitial macrophages
IM	interval mapping
IM	intestinal metaplasia
IM	intracellular membranes
IM	intrahepatic metastasis
IM	intramedullary
IM	intramembranous
IM	intramuscular
IM	mcurrent
IP	idiopathic parkinsonism
IP	imaging plate
IP	immunophenotype
IP	immunoprecipitation
IP	incontinentia pigmenti
IP	inflammatory polyarthritis
IP	inphase
IP	integrated project
IP	interference pattern
IP	interphalangeal
IP	interpositus nucleus
IP	interstitial pneumonitis
IP	intestinal permeability
IP	inverted papilloma
IP	ionization potential
IP	ipriflavone
IP	ischaemic preconditioning
IP	nucleus interpositus
IP	peripheral
IP	prostacyclin receptor
IR	calcitonin generelated peptide cgrpimmunoreactive
IR	implantation rate
IR	inactive renin
IR	incomplete repair
IR	inferior rectus
IR	information retrieval
IR	intermediate risk
IR	internal rotation
IR	ionizing irradiation
IR	ionizing radiation
IR	ischaemiareperfusion
IR	min of reperfusion
IR	nearinfrared
IS	idiopathic scoliosis
IS	immune serum
IS	immune system
IS	immunological synapse
IS	immunoscintigraphy
IS	immunostaining
IS	immunosuppressed
IS	immunosuppression
IS	immunosuppressive
IS	immunosuppressive substance
IS	incentive spirometry
IS	indoxyl sulfate
IS	induced sputum
IS	inescapable shock
IS	infantile spasms
IS	infarct size
IS	initial segment
IS	inner segments
IS	insertion
IS	ischaemic stroke
IS	ischemic stroke
IS	isotonic saline
IT	ca current
IT	immune tolerance
IT	inferior temporal
IT	inferior temporal cortex
IT	inferotemporal
IT	inferotemporal cortex
IT	information technology
IT	information transfer
IT	inspection time
IT	intensive therapy
IT	intermediate trophoblast
IT	intratracheal instillation
LA	lactic acid
LA	lactic acidosis
LA	laparoscopic adrenalectomy
LA	laparoscopic appendectomy
LA	large aggregates
LA	large aspiny
LA	large surfactant aggregates
LA	laser ablation
LA	lateral amygdala
LA	lateral nucleus of the amygdala
LA	latex agglutination
LA	left atria
LA	left atrium
LA	leucoagglutinin
LA	leukoagglutinin
LA	leukoaraiosis
LA	linoleic
LA	linoleic acid
LA	local anaesthesia
LA	localized adherence
LA	longacting
LA	los angeles
LA	low affinity
LA	low altitude
LA	lowaverage
LA	lumen area
LA	lyme arthritis
LA	lymphadenectomy
LA	lymphoid aggregates
LC	lab chow
LC	lactobacillus casei
LC	lamina cribrosa
LC	lateral column
LC	lcarnitine
LC	leukemia cutis
LC	lightcycler
LC	liquid chromatographic
LC	liquid crystalline
LC	liver cirrhosis
LC	local control
LC	locus ceruleus
LC	locus coeruleus
LC	lowcarbohydrate
LC	lumped constant
LC	lung cancer
LC	lysine clonixinate
LD	lamina densa
LD	lateral dorsal
LD	laterodorsal
LD	latissimus dorsi
LD	ldopa
LD	legionnaires disease
LD	leishmania donovani
LD	levodopa
LD	limiting dilution
LD	linear dichroism
LD	lipodystrophy
LD	loading dose
LD	longissimus dorsi
LD	low density
LD	lumen diameter
LD	luminancedefined
LD	lyme disease
LD	lymphocytic depletion
LD	patients with limited disease
LD	photoperiod
LD	under lightdark
LE	labelling efficiency
LE	lateral epicondylitis
LE	left ear
LE	leg exercise
LE	leg extension
LE	lens epithelial
LE	leucine enkephalin
LE	leukocyte elastase
LE	leukocyte esterase
LE	life events
LE	liquidexpanded
LE	liver extract
LE	local excision
LE	longevans rats
LE	loteprednol etabonate
LE	lower extremity
LE	luminal epithelial
LE	luminal epithelium
LE	lupus erythematosus
LE	lymphedema
LF	fed either a lowfat
LF	lactoferrin
LF	laparoscopic fundoplication
LF	laser fluorescence
LF	lassa fever
LF	lateral funiculus
LF	lipofuscin
LF	liver function
LF	local failure
LF	low fat
LF	low flow
LF	low frequency band
LF	lymphatic filariasis
LF	lymphoid follicles
LL	constant illumination
LL	continuous illumination
LL	continuous lighting
LL	genetically lean
LL	late luteal
LL	lateral lemniscus
LL	lateral longissimus
LL	left lateral
LL	leg length
LL	lepromatous
LL	lepromatous leprosy
LL	lesion load
LL	lining layer
LL	long latency
LL	longissimus lumborum
LL	lymphoid leukosis
LL	lysolecithin
LM	lactose malabsorption
LM	laryngeal mask
LM	lean mass
LM	left main
LM	lentigo maligna
LM	leptomeningeal metastases
LM	leptomeningeal metastasis
LM	levenbergmarquardt
LM	light microscope
LM	light microscopic
LM	light microscopy
LM	lipid microspheres
LM	lipomannan
LM	listeria monocytogenes
LM	liver metastases
LM	logical memory
LM	longitudinal muscle
LM	lymphatic mapping
LM	pretectal nucleus lentiformis mesencephali
LM	studied at the light
LP	insulin lispro
LP	late proximal
LP	latency period
LP	latent period
LP	lateral posterior
LP	lateral posterior nucleus
LP	lateral prostate
LP	lateral pyloric
LP	leg press
LP	legionella pneumonia
LP	leukapheresis
LP	leukocytic pyrogen
LP	lichen planus
LP	light peak
LP	linear prediction
LP	linear programming
LP	link protein
LP	long photoperiod
LP	low passage
LP	low protein diet
LP	lowpressure
LP	lumboperitoneal
LP	luteal phase
LP	lymphocyte predominance
LP	lymphocyte predominant
LP	lymphocyte proliferation
LP	lymphocyte proliferative
LP	lymphocytic predominance
LP	nucleus lateralis posterior
LP	serum lipoprotein
LS	laparoscopic splenectomy
LS	laparoscopic surgery
LS	laparoscopy
LS	laron syndrome
LS	lateral septum
LS	lateral suprasylvian
LS	lateral suprasylvian area
LS	lateral suprasylvian visual area
LS	leigh syndrome
LS	leukocyte scintigraphy
LS	lichen sclerosus
LS	lichen striatus
LS	liquid scintillation
LS	litter size
LS	low salt
LS	lowspin
LS	lumbar spine
LS	lung surfactant
LS	lymphocyte stimulation
LS	lymphoscintigraphy
LT	after lung transplantation
LT	anthrax lethal toxin
LT	cysteinylleukotrienes
LT	escherichia coli heatlabile toxin
LT	heat labile toxin
LT	heatlabile enterotoxin of escherichia coli
LT	lactate threshold
LT	lamina terminalis
LT	large t
LT	large tumor antigen
LT	laryngeal tube
LT	latency time
LT	light transmittance
LT	lissauers tract
LT	longissimus thoracis
LT	longterm
LT	low temperature
LT	lowthreshold
LT	lunotriquetral
LT	lymphocytic thyroiditis
LT	lymphoid tissue
MA	dmethamphetamine
MA	macular amyloidosis
MA	maleic anhydride
MA	mandelic acid
MA	maximal amplitude
MA	maximum amplitude
MA	mean acceleration
MA	megestrol acetate
MA	meglumine antimoniate
MA	meningioangiomatosis
MA	mental age
MA	mental arithmetic
MA	mesaconitine
MA	metabolic acidosis
MA	metastatic adenocarcinoma
MA	methyl acrylate
MA	methylamine
MA	microagglutination
MA	microbiological assay
MA	microscopic agglutination
MA	middleaged
MA	migraine with aura
MA	mitotic activity
MA	mitotic apparatus
MA	mitral annulus
MA	monoamine
MA	monoaminergic
MA	motor activity
MA	weeks menstrual age
MC	magnetic coil
MC	magnocellular
MC	managed care
MC	marlowecrowne social desirability scale
MC	matched control
MC	melanocytes
MC	meningeal carcinomatosis
MC	menstrual cycle
MC	mesangial cell
MC	methyl cellulose
MC	methylcellulose
MC	microcirculation
MC	microscopic colitis
MC	minnesota code
MC	mitotic count
MC	mixed cellularity
MC	mixed chimaerism
MC	mixed chimerism
MC	mixed cryoglobulinaemia
MC	mixed cryoglobulinemia
MC	moisture content
MC	molluscum contagiosum
MC	monochorionic
MC	monocomponent
MC	monte carlo
MC	musculocutaneous
MC	myocardial contractility
MC	myocarditis
MC	myotonia congenita
MD	macula densa
MD	maintenance dose
MD	major depressive disorder
MD	mareks disease
MD	maternal deprivation
MD	mean defect
MD	mean deviation
MD	meckels diverticulum
MD	medial dorsal
MD	medialis dorsalis
MD	mediodorsal
MD	mediodorsal nucleus of the thalamus
MD	mediodorsal thalamic nucleus
MD	mediodorsal thalamus
MD	methyldopa
MD	microdensitometry
MD	microdialysis
MD	mixed dementia
MD	moderate disability
MD	moderately differentiated
MD	molecular dynamics simulations
MD	monocular deprivation
MD	monocularly deprived
MD	motiondefined
MD	movement disorders
MD	patients with menieres disease
MD	thalamic mediodorsal nucleus
ME	macular edema
ME	magnitude estimation
ME	malic enzyme
ME	maximum entropy
ME	mccollough effect
ME	mechanical efficiency
ME	median eminence
ME	medical examiner
ME	metabolisable energy
ME	methanolic extract
ME	methoxyethanol
ME	middle ear
ME	minimum evolution
ME	moderate exercise
ME	mouse embryo
ME	myalgic encephalomyelitis
ME	myoelectric
ME	myoepithelial
MF	fibres
MF	increase in mutation frequency
MF	marrow fibrosis
MF	medium fat
MF	membrane filter
MF	membrane filtration
MF	membrane fractions
MF	methyl farnesoate
MF	microfilament
MF	microfiltration
MF	micropolyspora faeni
MF	midfrequency
MF	milk fat
MF	mitotic figures
MF	mitral flow
MF	mometasone furoate
MF	morphogenetic furrow
MF	mossy fibre
MF	muscle fibers
MF	mycosis fungoides
MF	myelinated fibers
MF	sequential methotrexate and fluorouracil
MG	malachite green
MG	mammary gland
MG	matrigel
MG	mean gradient
MG	medial gastrocnemius
MG	medial gastrocnemius muscle
MG	medial geniculate
MG	meningeal gliomatosis
MG	methylglyoxal
MG	methylguanidine
MG	microgravity
MG	molten globule
MG	myasthenia gravis
MG	mycoplasma gallisepticum
MG	serum myoglobin
MI	after acute myocardial infarction
MI	cardiac remodeling after myocardial infarction
MI	first meiotic division
MI	first meiotic metaphase
MI	intervention
MI	magical ideation
MI	meconium ileus
MI	meiosis i
MI	metabolic inhibition
MI	metabolic intermediate
MI	metaphase i
MI	mitotic
MI	mitotic indices
MI	mitral insufficiency
MI	motivational interviewing
MI	motor imagery
MI	multiple imputation
MI	mutual information
MI	myocardial infarct
MI	myocardial infarcted
MI	myocardial ischemia
MI	myometrial invasion
MI	patients after myocardial infarction
MI	patients with acute myocardial infarction
MI	ventricular remodeling after myocardial infarction
ML	machine learning
ML	macrocyclic lactone
ML	medial lemniscus
ML	mediallateral
ML	midluteal
ML	mink lung
ML	mitochondriallysosomal
ML	monolayer
ML	mouse lysozyme
ML	mucosal leishmaniasis
ML	mullerlyer
ML	muscle larvae
ML	muscle length
ML	mycobacterium leprae
ML	myeloid leukemia
MM	masseter muscle
MM	maternal mortality
MM	meningococcal meningitis
MM	menstrual migraine
MM	mesangial matrix
MM	metanephric mesenchyme
MM	methadone maintenance
MM	michaelismenten
MM	minimal medium
MM	mirror movements
MM	mitochondrial myopathy
MM	mixed micelles
MM	miyoshi myopathy
MM	model
MM	muscle mass
MM	muscularis mucosae
MM	mycoplasma meleagridis
MM	myeloid metaplasia
MM	myelomeningocele
MP	machine perfusion
MP	macular pigment
MP	main process
MP	mannoprotein
MP	mastoparan
MP	matching pursuit
MP	meconium peritonitis
MP	melphalan and prednisone
MP	melphalanprednisone
MP	metatarsophalangeal
MP	methapyrilene
MP	methyl palmoxirate
MP	methyl prednisolone
MP	methylphosphonate
MP	micronized progesterone
MP	micturition pressure
MP	migration percentage
MP	mitral prolapse
MP	monopolar
MP	motor potential
MP	movement protein
MP	mycoplasma pneumoniae
MP	mycoplasma pneumoniae pneumonia
MP	myenteric plexus
MP	myocardial perfusion
MP	myosin phosphatase
MR	magnetoresistance
MR	maillard reaction
MR	mandelate racemase
MR	medial rectus
MR	median raphe
MR	menstrual regulation
MR	mental rotation
MR	mentally retarded
MR	methicillinresistant
MR	milk replacer
MR	mitochondriarich
MR	mitotic rate
MR	mitral regurgitation
MR	molecular remission
MR	molecular replacement
MR	morbid risk
MR	morphinone reductase
MR	mortality rate
MR	motherreared
MR	multiresistant
MS	chinese meishan
MS	magnetic source
MS	magnetic stimulation
MS	mainstream
MS	mainstream smoke
MS	malignant schwannoma
MS	manchester scale
MS	marbling score
MS	marijuana smokers
MS	mass screening
MS	mass spectral
MS	mass spectrometer
MS	mass spectrometric
MS	maternal separation
MS	maternal serum
MS	meal size
MS	mean sensitivity
MS	mechanosensitive
MS	medial septal
MS	medial septum
MS	median sternotomy
MS	mental stress
MS	methionine synthetase
MS	middle suprasylvian
MS	mild steel
MS	mitral stenosis
MS	molar substitution
MS	morphine sulfate
MS	motion sickness
MS	multiplescattering
MS	murashigeskoog
MS	mutans streptococci
MS	mutator strain
MS	mycoplasma synoviae
MT	alphamethyltestosterone
MT	magnetization transfer
MT	maintenance therapy
MT	malpighian tubules
MT	matingtype
MT	membrane type
MT	methanethiol
MT	methyltestosterone
MT	methyltrienolone
MT	middle temporal
MT	middle temporal area
MT	middle temporal visual area
MT	morphological transformation
MT	motor threshold
MT	myoblast transplantation
MT	myogenic tone
NC	change
NC	nanocapsules
NC	neck circumference
NC	nephrocalcin
NC	nephrocalcinosis
NC	neurological complications
NC	nitrosocimetidine
NC	nonclassical
NC	normal children
NC	normal comparison
NC	normal control group
NC	normal cycling
NC	normocholesterolemic
NC	north carolina
NC	nucleus caudatus
NC	nucleus circularis
NC	onto nitrocellulose
NC	patients with neurocysticercosis
ND	nadh dehydrogenase
ND	nadphdiaphorase
ND	nandrolone decanoate
ND	neck dissection
ND	neurologic deficit
ND	neutral density
ND	nicotine dependence
ND	nocodazole
ND	nondemented
ND	nondisabled
ND	nordiazepam
ND	normal diet
ND	normally developing
ND	norrie disease
ND	not detected
ND	nucleus of darkschewitsch
NE	lnorepinephrine
NE	necrotic enteritis
NE	neonatal encephalopathy
NE	nephropathia epidemica
NE	net energy
NE	neuroendocrine
NE	neuroepithelium
NE	neutropenic enterocolitis
NE	neutrophil elastase
NE	nocturnal enuresis
NE	noradrenergic
NE	norepinephrine levels
NE	nuclear envelope
NE	nutcracker esophagus
NE	nutritional encephalomalacia
NE	release of hnorepinephrine
NP	alcohol nonpreferring
NP	antihydroxynitrophenylacetyl
NP	hapten hydroxynitrophenylacetyl
NP	hydroxynitrophenyl acetyl
NP	hydroxynitrophenylacetyl
NP	influenza virus nucleoprotein
NP	metabolite norpropoxyphene
NP	nasal polyposis
NP	nasopharyngeal
NP	nasopharynx
NP	neck pressure
NP	necrotizing pancreatitis
NP	negative priming
NP	neuritic plaque
NP	neuropathic pain
NP	neurophysin
NP	neuropsychiatric
NP	neuropsychological
NP	normal plasma
NP	normal pregnancy
NP	normal pregnant
NP	normal pregnant women
NP	normal prostate
NP	nosocomial pneumonia
NP	noun phrase
NP	nucleoproteins
NP	nucleoside phosphorylase
NP	nucleus pulposus
NP	pnonylphenol
NS	nanospheres
NS	naproxen sodium
NS	nasal secretions
NS	natural suppressor
NS	neck suction
NS	negative symptoms
NS	neostriatum
NS	nervous system
NS	neurosecretory
NS	nevus sebaceus
NS	nigrostriatal
NS	nodular sclerosing
NS	nodular sclerosis
NS	nonsignificant
NS	noonan syndrome
NS	normal salt
NS	normal serum
NS	normal skin
NS	novelty seeking
NS	nutritional status
NS	nutritional support
NT	botulinum neurotoxin
NT	natural t
NT	neural tube
NT	neurotensin
NT	neutralization
NT	neutralizing
NT	nick translation
NT	nontrained
NT	nontypeable
NT	normal training
NT	normotension
NT	normotensive subjects
NT	normotest
NT	normothermia
NT	northern territory
NT	nterminal
NT	nuchal translucency
NT	nuchal translucency thickness
NT	nuclear transfer
NT	nucleation time
OC	occipital cortex
OC	oleoresin capsicum
OC	olivocochlear
OC	open cholecystectomies
OC	open colectomy
OC	oral candidiasis
OC	oral contraception
OC	organ culture
OC	organ of corti
OC	organic carbon
OC	organochlorine
OC	osteochondrosis
OC	outer cortex
OC	ovarian cancer
OC	oxidized cellulose
OM	occupational medicine
OM	olfactory mucosa
OM	oncomodulin
OM	oncostatin m
OM	operative mortality
OM	optical microscopy
OM	oral mucosa
OM	oral mucositis
OM	osbornemendel
OM	osteomalacia
OM	osteomyelitis
OM	otitis media
OM	outer medulla
OM	ovulation method
OP	obesityprone
OP	opening pressure
OP	ophenanthroline
OP	opponens pollicis
OP	organizing pneumonia
OP	organophosphorous
OP	organophosphorus
OP	oropharyngeal
OP	oropharynx
OP	osmotic pressure
OP	osteoporosis
OP	osteoporotic
OP	outpatient
OP	tertoctylphenol
PA	abscess
PA	agreement
PA	paleostriatum augmentatum
PA	panic attacks
PA	particle agglutination
PA	particle agglutination test
PA	passive avoidance
PA	pennsylvania
PA	perceptual asymmetry
PA	performance assessment
PA	perinatal asphyxia
PA	permeabilitysurface area product
PA	pernicious anaemia
PA	pernicious anemia
PA	phenylacetate
PA	phonological awareness
PA	phosphatidate
PA	photoacoustic
PA	phthalic anhydride
PA	physician assistant
PA	pilocytic astrocytoma
PA	plaque area
PA	plasminogen activation
PA	polyacrylate
PA	polyamide
PA	positive affect
PA	positive affectivity
PA	postabsorptive
PA	posterioranterior
PA	preinfarction angina
PA	premature adrenarche
PA	primary angioplasty
PA	proanthocyanidin
